Start time: 1731108783993
[2024-11-08T18:33:05.029349-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T18:33:05.030459-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-08T18:33:05.030525-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T18:33:05.030565-0500] nuttcp-r: connect to 54.197.223.49 with RTT=71.724 ms af=inet
[2024-11-08T18:33:05.030606-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-08T18:33:05.030643-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-08T18:34:17.529232-0500]    32.0625 MB /   0.50 sec =  537.9141 Mbps     0 retrans   6260 KB-cwnd
[2024-11-08T18:34:18.029379-0500]    28.2500 MB /   0.50 sec =  473.9469 Mbps     0 retrans   6260 KB-cwnd
[2024-11-08T18:34:18.529432-0500]    22.2500 MB /   0.50 sec =  373.1639 Mbps     0 retrans   9915 KB-cwnd
[2024-11-08T18:34:19.029230-0500]    21.3125 MB /   0.50 sec =  357.7011 Mbps     0 retrans   9915 KB-cwnd
[2024-11-08T18:34:19.530328-0500]    10.1875 MB /   0.50 sec =  170.5481 Mbps     0 retrans   9915 KB-cwnd
[2024-11-08T18:34:20.029276-0500]    14.6875 MB /   0.50 sec =  246.9676 Mbps     0 retrans   9915 KB-cwnd
[2024-11-08T18:34:20.529154-0500]    22.5625 MB /   0.50 sec =  378.5261 Mbps     0 retrans   9769 KB-cwnd
[2024-11-08T18:34:21.029198-0500]    24.2500 MB /   0.50 sec =  406.8369 Mbps     0 retrans   9769 KB-cwnd
[2024-11-08T18:34:21.529231-0500]    24.1250 MB /   0.50 sec =  404.7406 Mbps     0 retrans   9769 KB-cwnd
[2024-11-08T18:34:22.029359-0500]    16.8125 MB /   0.50 sec =  281.9959 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:22.529194-0500]    17.6250 MB /   0.50 sec =  295.7534 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:23.029437-0500]     8.9375 MB /   0.50 sec =  149.9026 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:23.529909-0500]    16.3750 MB /   0.50 sec =  274.5940 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:24.029570-0500]     4.1250 MB /   0.50 sec =   69.2399 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:24.529293-0500]    11.0625 MB /   0.50 sec =  185.6577 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:25.029420-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans  11522 KB-cwnd
[2024-11-08T18:34:25.529271-0500]     9.7500 MB /   0.50 sec =  163.6400 Mbps     4 retrans   8826 KB-cwnd
[2024-11-08T18:34:26.030627-0500]     4.6250 MB /   0.50 sec =   77.3780 Mbps     0 retrans   8826 KB-cwnd
[2024-11-08T18:34:26.529543-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   8826 KB-cwnd
