Start time: 1731006709548
[2024-11-07T14:11:50.418083-0500] nuttcp-r: v8.1.4: socket
[2024-11-07T14:11:50.418801-0500] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-07T14:11:50.418880-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-07T14:11:50.418946-0500] nuttcp-r: connect to 54.197.223.49 with RTT=49.201 ms af=inet
[2024-11-07T14:11:50.419009-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-07T14:11:50.419069-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-07T14:12:36.418147-0500]    12.1875 MB /   0.50 sec =  204.6512 Mbps     0 retrans   2437 KB-cwnd
[2024-11-07T14:12:36.918190-0500]    15.9375 MB /   0.50 sec =  267.3714 Mbps     0 retrans   2437 KB-cwnd
[2024-11-07T14:12:37.417968-0500]    18.3125 MB /   0.50 sec =  307.2346 Mbps     0 retrans   2437 KB-cwnd
[2024-11-07T14:12:37.917976-0500]    15.3125 MB /   0.50 sec =  256.8996 Mbps     0 retrans   2437 KB-cwnd
[2024-11-07T14:12:38.418060-0500]    15.8750 MB /   0.50 sec =  266.3069 Mbps     0 retrans   2520 KB-cwnd
[2024-11-07T14:12:38.917993-0500]    20.7500 MB /   0.50 sec =  348.1697 Mbps     0 retrans   2480 KB-cwnd
[2024-11-07T14:12:39.418050-0500]    19.3750 MB /   0.50 sec =  325.0079 Mbps     0 retrans   2480 KB-cwnd
[2024-11-07T14:12:39.918060-0500]    24.6250 MB /   0.50 sec =  413.1819 Mbps     0 retrans   3504 KB-cwnd
[2024-11-07T14:12:40.417971-0500]    20.8125 MB /   0.50 sec =  349.1912 Mbps     0 retrans   3504 KB-cwnd
[2024-11-07T14:12:40.918291-0500]     5.6250 MB /   0.50 sec =   94.3688 Mbps     0 retrans   3504 KB-cwnd
[2024-11-07T14:12:41.418230-0500]    11.6875 MB /   0.50 sec =  195.9830 Mbps     0 retrans   3504 KB-cwnd
[2024-11-07T14:12:41.917958-0500]    15.1250 MB /   0.50 sec =  253.9001 Mbps     0 retrans   3504 KB-cwnd
[2024-11-07T14:12:42.418006-0500]    16.3125 MB /   0.50 sec =  273.6712 Mbps     0 retrans   4864 KB-cwnd
[2024-11-07T14:12:42.917966-0500]    15.0000 MB /   0.50 sec =  251.6618 Mbps     0 retrans   4864 KB-cwnd
[2024-11-07T14:12:43.417986-0500]    15.2500 MB /   0.50 sec =  255.8438 Mbps     0 retrans   4864 KB-cwnd
[2024-11-07T14:12:43.917993-0500]    14.3125 MB /   0.50 sec =  240.1239 Mbps     0 retrans   4864 KB-cwnd
[2024-11-07T14:12:44.417989-0500]    12.8750 MB /   0.50 sec =  216.0101 Mbps     0 retrans   4864 KB-cwnd
[2024-11-07T14:12:44.918011-0500]    12.1875 MB /   0.50 sec =  204.4674 Mbps     0 retrans   4797 KB-cwnd
[2024-11-07T14:12:45.417982-0500]    15.3750 MB /   0.50 sec =  257.9549 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:45.918007-0500]    17.3750 MB /   0.50 sec =  291.4942 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:46.417864-0500]     7.4375 MB /   0.50 sec =  124.7948 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:46.919408-0500]     5.6250 MB /   0.50 sec =   94.1093 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:47.418046-0500]     5.1250 MB /   0.50 sec =   86.2069 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:47.918124-0500]     3.5000 MB /   0.50 sec =   58.7281 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:48.417963-0500]     4.1250 MB /   0.50 sec =   69.2067 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:48.918046-0500]     2.6250 MB /   0.50 sec =   44.0374 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:49.418001-0500]     2.8750 MB /   0.50 sec =   48.2349 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:49.918004-0500]     8.2500 MB /   0.50 sec =  138.4156 Mbps     0 retrans   6342 KB-cwnd
[2024-11-07T14:12:50.417983-0500]    13.3125 MB /   0.50 sec =  223.3462 Mbps     0 retrans   3735 KB-cwnd
[2024-11-07T14:12:50.918057-0500]     9.2500 MB /   0.50 sec =  155.1678 Mbps     0 retrans   3765 KB-cwnd
[2024-11-07T14:12:51.418107-0500]     5.6875 MB /   0.50 sec =   95.4113 Mbps     0 retrans   3891 KB-cwnd
[2024-11-07T14:12:51.917983-0500]    14.3750 MB /   0.50 sec =  241.2338 Mbps     0 retrans   3891 KB-cwnd
[2024-11-07T14:12:52.418162-0500]    12.8750 MB /   0.50 sec =  216.0028 Mbps     0 retrans   3891 KB-cwnd
[2024-11-07T14:12:52.918037-0500]    10.7500 MB /   0.50 sec =  180.3500 Mbps     0 retrans   3891 KB-cwnd
[2024-11-07T14:12:53.417980-0500]    14.4375 MB /   0.50 sec =  242.2303 Mbps     0 retrans   3759 KB-cwnd
[2024-11-07T14:12:53.917998-0500]    14.9375 MB /   0.50 sec =  250.6117 Mbps     0 retrans   3759 KB-cwnd
[2024-11-07T14:12:54.417992-0500]    20.4375 MB /   0.50 sec =  342.8837 Mbps     0 retrans   3759 KB-cwnd
[2024-11-07T14:12:54.917937-0500]    24.1875 MB /   0.50 sec =  405.7997 Mbps     0 retrans   3778 KB-cwnd
[2024-11-07T14:12:55.418434-0500]    27.0625 MB /   0.50 sec =  453.6387 Mbps     0 retrans   3821 KB-cwnd
[2024-11-07T14:12:55.918019-0500]    24.8125 MB /   0.50 sec =  416.6255 Mbps     0 retrans   3821 KB-cwnd
[2024-11-07T14:12:56.417863-0500]    23.0000 MB /   0.50 sec =  385.9184 Mbps     0 retrans   3821 KB-cwnd
[2024-11-07T14:12:56.918493-0500]    21.7500 MB /   0.50 sec =  364.5283 Mbps     0 retrans   4208 KB-cwnd
[2024-11-07T14:12:57.418080-0500]    28.7500 MB /   0.50 sec =  482.7389 Mbps     0 retrans   4232 KB-cwnd
[2024-11-07T14:12:57.918107-0500]    36.7500 MB /   0.50 sec =  616.6515 Mbps     0 retrans   5821 KB-cwnd
[2024-11-07T14:12:58.417991-0500]    29.6250 MB /   0.50 sec =  497.0310 Mbps     0 retrans   5821 KB-cwnd
[2024-11-07T14:12:58.918010-0500]    24.3750 MB /   0.50 sec =  408.9414 Mbps     0 retrans   5821 KB-cwnd
[2024-11-07T14:12:59.417975-0500]    20.5625 MB /   0.50 sec =  344.9808 Mbps     0 retrans   6100 KB-cwnd
[2024-11-07T14:12:59.917983-0500]    16.8125 MB /   0.50 sec =  282.0669 Mbps     0 retrans   6100 KB-cwnd
[2024-11-07T14:13:00.417988-0500]    14.1875 MB /   0.50 sec =  238.0268 Mbps     0 retrans   6146 KB-cwnd
[2024-11-07T14:13:00.918154-0500]    17.8750 MB /   0.50 sec =  299.9185 Mbps     0 retrans   6146 KB-cwnd
[2024-11-07T14:13:01.417994-0500]    17.1875 MB /   0.50 sec =  288.3394 Mbps     0 retrans   7838 KB-cwnd
[2024-11-07T14:13:01.918004-0500]    19.8750 MB /   0.50 sec =  333.4392 Mbps     0 retrans   7852 KB-cwnd
[2024-11-07T14:13:02.417970-0500]    21.4375 MB /   0.50 sec =  359.6652 Mbps     0 retrans   7852 KB-cwnd
[2024-11-07T14:13:02.918069-0500]    23.5000 MB /   0.50 sec =  394.2480 Mbps     0 retrans   7073 KB-cwnd
[2024-11-07T14:13:03.418106-0500]    21.6875 MB /   0.50 sec =  363.7977 Mbps     0 retrans   7073 KB-cwnd
[2024-11-07T14:13:03.917990-0500]    26.1875 MB /   0.50 sec =  439.4351 Mbps     0 retrans   7073 KB-cwnd
[2024-11-07T14:13:04.418042-0500]    22.7500 MB /   0.50 sec =  381.6672 Mbps     0 retrans   4856 KB-cwnd
